Timestamp;Type(DATA/ACK);Src;Dst;Avg Distance, m;Msg Size;Power;RSSI;Bit errors;Acg Mean
2025-08-07 15:33:07.896;ACK;58;56;56.87;0;38;27;0;18
2025-08-07 15:34:43.991;ACK;58;56;57.07;0;39;30;1;18
2025-08-07 15:35:17.024;ACK;58;56;56.94;0;39;28;1;18
2025-08-07 15:38:37.077;ACK;58;56;2072.46;0;44;41;0;18
2025-08-07 16:06:14.670;ACK;58;56;35.0;0;41;48;0;14
2025-08-07 16:06:19.674;ACK;58;56;35.0;0;50;65;0;10
2025-08-07 16:06:24.680;ACK;58;56;35.0;0;46;53;0;10
2025-08-07 16:06:29.685;ACK;58;56;35.0;0;41;41;0;10
2025-08-07 16:06:34.690;ACK;58;56;35.0;0;44;49;0;10
2025-08-07 16:06:39.695;ACK;58;56;35.0;0;43;46;0;10
2025-08-07 16:06:44.700;ACK;58;56;35.0;0;46;47;0;10
2025-08-07 16:06:49.705;ACK;58;56;35.0;0;42;42;0;10
2025-08-07 16:06:54.710;ACK;58;56;35.0;0;40;36;0;10
2025-08-07 16:06:59.715;ACK;58;56;35.0;0;43;44;1;14
2025-08-07 16:07:04.721;ACK;58;56;35.0;0;40;41;0;10
2025-08-07 16:07:09.726;ACK;58;56;35.0;0;40;40;0;10
2025-08-07 16:07:14.731;ACK;58;56;35.0;0;41;45;0;10
2025-08-07 16:07:19.737;ACK;58;56;35.0;0;46;49;0;14
2025-08-07 16:07:24.741;ACK;58;56;35.0;0;41;42;0;10
2025-08-07 16:07:43.759;ACK;58;56;35.0;0;48;46;0;14
2025-08-07 16:07:48.765;ACK;58;56;35.0;0;50;51;0;14
2025-08-07 16:08:08.009;ACK;58;56;34.82;0;41;41;0;10
2025-08-07 16:08:13.014;ACK;58;56;34.42;0;47;50;0;14
2025-08-07 16:08:18.019;ACK;58;56;34.46;0;53;58;0;14
2025-08-07 16:08:23.024;ACK;58;56;34.32;0;42;44;0;14
2025-08-07 16:08:28.029;ACK;58;56;34.28;0;43;47;0;10
2025-08-07 16:08:33.033;ACK;58;56;34.43;0;44;45;0;10
2025-08-07 16:08:38.038;ACK;58;56;34.44;0;44;44;0;10
2025-08-07 16:08:43.043;ACK;58;56;34.38;0;45;48;0;10
2025-08-07 16:08:48.048;ACK;58;56;34.47;0;43;43;0;14
2025-08-07 16:08:53.053;ACK;58;56;34.41;0;52;54;0;14
2025-08-07 16:08:58.059;ACK;58;56;34.52;0;42;46;0;10
