Timestamp;N Tries;Avg Distance, m;Msg Size;Acks Received;PER;Failed To Send
2025-08-22 10:44:24.188;20;243.23;7;11;0.55;0
2025-08-22 10:50:57.653;20;237.77;7;18;0.90;0
2025-08-22 10:53:03.424;20;237.63;16;15;0.75;0
2025-08-22 10:55:34.533;20;237.69;26;16;0.80;0
2025-08-22 10:57:33.527;20;237.73;56;17;0.85;0
2025-08-22 11:00:10.789;20;0.00;106;0;0.00;0
2025-08-22 11:02:44.108;20;237.67;106;17;0.85;0
2025-08-22 11:06:00.968;20;237.68;7;20;1.00;0
2025-08-22 11:08:25.243;20;237.71;16;20;1.00;0
2025-08-22 11:10:35.443;20;237.65;26;19;0.95;0
2025-08-22 11:12:40.075;20;237.72;56;20;1.00;0
2025-08-22 11:14:40.492;20;237.76;106;19;0.95;0
2025-08-22 11:39:42.978;20;276.22;7;7;0.35;0
2025-08-22 11:42:12.363;20;276.27;7;15;0.75;0
2025-08-22 11:46:33.219;20;276.24;16;4;0.20;0
2025-08-22 11:48:48.372;20;2823.68;26;1;0.05;0
2025-08-22 11:51:20.530;6;0.00;56;2;0.33;14
2025-08-22 11:53:39.818;20;968.13;56;18;0.90;0
2025-08-22 11:57:07.562;20;275.96;106;14;0.70;0
2025-08-22 11:59:39.845;20;276.19;7;14;0.70;0
2025-08-22 12:02:20.354;20;276.17;16;14;0.70;0
2025-08-22 12:04:43.812;20;276.00;26;14;0.70;0
2025-08-22 12:06:53.033;20;275.96;56;20;1.00;0
2025-08-22 12:08:54.833;20;275.93;106;20;1.00;0
2025-08-22 12:10:56.337;20;275.94;7;19;0.95;0
2025-08-22 12:12:56.525;20;275.92;16;20;1.00;0
2025-08-22 12:14:58.216;20;275.91;26;20;1.00;0
2025-08-22 12:16:57.207;20;275.91;56;20;1.00;0
2025-08-22 12:19:10.077;20;275.93;106;20;1.00;0
2025-08-22 12:21:34.316;20;276.00;7;16;0.80;0
2025-08-22 12:24:17.617;20;275.95;16;9;0.45;0
2025-08-22 12:29:50.811;20;276.01;26;14;0.70;0
2025-08-22 12:32:06.508;20;275.93;56;20;1.00;0
2025-08-22 12:34:00.494;20;275.90;106;20;1.00;0
2025-08-22 12:35:58.054;20;275.91;7;20;1.00;0
2025-08-22 12:37:55.784;20;275.94;26;20;1.00;0
2025-08-22 12:39:51.701;20;275.92;106;20;1.00;0
