Timestamp;Type(DATA/ACK);Src;Dst;Avg Distance, m;Msg Size;Power;RSSI;Bit errors;Acg Mean
2025-08-22 10:42:48.173;ACK;58;56;243.13;0;44;42;0;10
2025-08-22 10:42:52.278;ACK;58;56;243.18;0;35;32;0;10
2025-08-22 10:42:56.383;ACK;58;56;243.07;0;43;41;0;10
2025-08-22 10:43:00.488;ACK;58;56;243.12;0;36;34;0;9
2025-08-22 10:43:04.593;ACK;58;56;243.39;0;46;40;0;10
2025-08-22 10:43:08.698;ACK;58;56;243.54;0;36;30;0;9
2025-08-22 10:43:12.803;ACK;58;56;243.26;0;42;33;0;10
2025-08-22 10:43:16.908;ACK;58;56;243.26;0;43;37;0;10
2025-08-22 10:43:21.013;ACK;58;56;243.46;0;44;36;0;10
2025-08-22 10:43:49.547;ACK;58;56;243.30;0;37;32;0;10
2025-08-22 10:44:05.867;ACK;58;56;242.86;0;41;32;0;10
2025-08-22 10:49:35.651;ACK;58;56;237.96;0;47;46;0;11
2025-08-22 10:49:39.755;ACK;58;56;237.90;0;44;43;0;11
2025-08-22 10:49:43.861;ACK;58;56;237.44;0;55;49;0;12
2025-08-22 10:49:47.966;ACK;58;56;237.53;0;44;44;0;11
2025-08-22 10:49:52.071;ACK;58;56;237.51;0;55;56;0;12
2025-08-22 10:49:56.176;ACK;58;56;237.55;0;48;50;0;11
2025-08-22 10:50:00.281;ACK;58;56;237.59;0;37;38;0;10
2025-08-22 10:50:04.386;ACK;58;56;237.59;0;45;49;0;11
2025-08-22 10:50:14.598;ACK;58;56;237.65;0;44;41;0;11
2025-08-22 10:50:18.703;ACK;58;56;237.99;0;36;33;0;10
2025-08-22 10:50:22.808;ACK;58;56;237.85;0;37;36;0;10
2025-08-22 10:50:26.913;ACK;58;56;237.85;0;45;42;0;11
2025-08-22 10:50:31.019;ACK;58;56;237.86;0;44;42;0;11
2025-08-22 10:50:41.231;ACK;58;56;238.07;0;42;38;0;10
2025-08-22 10:50:45.337;ACK;58;56;237.96;0;45;42;0;11
2025-08-22 10:50:49.442;ACK;58;56;237.81;0;45;45;0;10
2025-08-22 10:50:53.548;ACK;58;56;237.94;0;44;40;0;11
2025-08-22 10:50:57.653;ACK;58;56;237.74;0;52;56;0;12
2025-08-22 10:51:35.400;ACK;58;56;237.77;0;48;50;0;11
2025-08-22 10:51:39.506;ACK;58;56;237.47;0;44;47;0;11
2025-08-22 10:51:43.613;ACK;58;56;237.57;0;55;60;0;12
2025-08-22 10:51:53.826;ACK;58;56;237.53;0;56;58;0;12
2025-08-22 10:51:57.932;ACK;58;56;237.64;0;57;59;0;12
2025-08-22 10:52:02.037;ACK;58;56;237.77;0;53;56;0;12
2025-08-22 10:52:06.143;ACK;58;56;237.47;0;53;56;0;12
2025-08-22 10:52:10.249;ACK;58;56;237.62;0;55;57;0;12
2025-08-22 10:52:20.464;ACK;58;56;237.74;0;52;52;0;12
2025-08-22 10:52:24.570;ACK;58;56;237.76;0;42;42;1;11
2025-08-22 10:52:34.783;ACK;58;56;237.56;0;54;55;0;12
2025-08-22 10:52:38.889;ACK;58;56;237.83;0;43;43;0;11
2025-08-22 10:52:42.996;ACK;58;56;237.55;0;56;61;0;12
2025-08-22 10:52:53.211;ACK;58;56;237.35;0;54;55;0;12
2025-08-22 10:53:03.424;ACK;58;56;237.82;0;37;37;0;10
2025-08-22 10:54:08.494;ACK;58;56;237.62;0;39;42;0;10
2025-08-22 10:54:12.601;ACK;58;56;237.62;0;46;48;0;10
2025-08-22 10:54:16.707;ACK;58;56;237.66;0;47;46;0;11
2025-08-22 10:54:20.814;ACK;58;56;237.58;0;45;45;0;11
2025-08-22 10:54:24.921;ACK;58;56;237.63;0;46;43;0;11
2025-08-22 10:54:29.028;ACK;58;56;237.75;0;37;33;0;10
2025-08-22 10:54:39.244;ACK;58;56;237.84;0;45;42;0;11
2025-08-22 10:54:49.460;ACK;58;56;237.71;0;43;39;0;11
2025-08-22 10:54:59.675;ACK;58;56;237.64;0;42;40;0;10
2025-08-22 10:55:03.782;ACK;58;56;237.78;0;36;36;0;10
2025-08-22 10:55:07.888;ACK;58;56;237.55;0;53;48;0;12
2025-08-22 10:55:11.995;ACK;58;56;237.78;0;52;48;0;12
2025-08-22 10:55:22.211;ACK;58;56;237.83;0;41;39;0;10
2025-08-22 10:55:26.318;ACK;58;56;237.71;0;40;37;0;11
2025-08-22 10:55:30.425;ACK;58;56;237.61;0;39;36;0;11
2025-08-22 10:55:34.533;ACK;58;56;237.65;0;39;37;0;11
